Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
Pepperoni - Large Original Stuffed Crust® Slice,139.7,16.0,35.0,15.0,2.0,2.0,730.0,45.0,340.0,7.0,0.0,0.6862745098039216,0.8823529411764707,1.2223071046600458,1.7892156862745099,0.29411764705882354
Pepperoni Lover's® - Large Original Stuffed Crust®; Slice,154.4,20.0,35.0,18.0,2.0,3.0,850.0,55.0,390.0,9.0,0.5,0.5982905982905983,0.9401709401709402,1.332001332001332,1.8162393162393162,0.3076923076923077
Supreme - Large Original Stuffed Crust® Slice,166.4,18.0,36.0,16.0,2.0,3.0,770.0,45.0,370.0,8.0,0.0,0.6486486486486487,0.8108108108108109,1.2636012636012637,1.7342342342342343,0.28828828828828834
Ultimate Cheese Lover's® - Large Original Stuffed Crust® Slice,137.6,16.0,34.0,15.0,2.0,2.0,660.0,40.0,340.0,8.0,0.0,0.6666666666666667,0.7843137254901961,1.2223071046600458,1.6176470588235294,0.29411764705882354
Veggie Lover's® - Large Original Stuffed Crust® Slice,163.0,12.0,37.0,13.0,3.0,3.0,650.0,30.0,300.0,6.0,0.0,0.8222222222222223,0.6666666666666667,1.0389610389610389,1.8055555555555556,0.2888888888888889
Backyard BBQ Chicken - Rectangle Slice,107.4,9.0,34.0,11.0,6.0,2.0,470.0,20.0,260.0,3.5,0.0,0.8717948717948719,0.5128205128205129,0.8991008991008992,1.5064102564102564,0.2820512820512821
Buffalo Chicken - Rectangle Slice,106.3,8.0,32.0,10.0,1.0,2.0,630.0,20.0,240.0,3.0,0.0,0.888888888888889,0.5555555555555556,0.8658008658008658,2.1875,0.2777777777777778
Cheese - Rectangle Slice,102.6,9.0,29.0,10.0,1.0,2.0,460.0,20.0,240.0,4.0,0.0,0.8055555555555556,0.5555555555555556,0.974025974025974,1.5972222222222223,0.2777777777777778
Chicken-Bacon Parmesan - Rectangle Slice,112.6,12.0,28.0,12.0,1.0,2.0,490.0,25.0,270.0,4.5,0.0,0.691358024691358,0.6172839506172839,1.1544011544011545,1.5123456790123457,0.29629629629629634
Hawaiian Chicken - Rectangle Slice,116.3,8.0,30.0,11.0,2.0,2.0,500.0,20.0,230.0,3.0,0.0,0.8695652173913043,0.5797101449275363,0.9034443817052513,1.8115942028985508,0.31884057971014496
Meat Lover's® - Rectangle Slice,121.6,16.0,29.0,13.0,1.0,2.0,670.0,35.0,310.0,6.0,0.0,0.6236559139784946,0.7526881720430108,1.3405948889819856,1.8010752688172043,0.2795698924731183
Pepperoni - Rectangle Pan Slice,100.2,11.0,28.0,10.0,1.0,2.0,490.0,20.0,250.0,4.0,0.0,0.7466666666666667,0.5333333333333333,1.1428571428571428,1.6333333333333333,0.26666666666666666
Pepperoni Lover's® - Rectangle Slice,114.0,14.0,29.0,13.0,1.0,2.0,590.0,35.0,290.0,6.0,0.0,0.6666666666666667,0.8045977011494253,1.2539184952978055,1.6954022988505746,0.2988505747126437
Supreme - Rectangle Slice,118.6,12.0,29.0,11.0,2.0,2.0,520.0,25.0,270.0,4.5,0.0,0.7160493827160495,0.6172839506172839,1.1544011544011545,1.6049382716049383,0.271604938271605
Ultimate Cheese Lover's® - Rectangle Slice,103.5,12.0,28.0,11.0,1.0,2.0,480.0,25.0,260.0,5.0,0.0,0.7179487179487181,0.6410256410256411,1.1988011988011988,1.5384615384615385,0.2820512820512821
Veggie Lover's® - Rectangle Slice,117.1,8.0,30.0,9.0,2.0,2.0,440.0,15.0,220.0,3.0,0.0,0.9090909090909091,0.45454545454545453,0.9445100354191263,1.6666666666666667,0.27272727272727276
"Backyard BBQ Chicken - 18"" Slice",185.4,13.0,57.0,19.0,9.0,3.0,720.0,40.0,420.0,6.0,0.0,0.9047619047619048,0.6349206349206349,0.8039579468150897,1.4285714285714286,0.30158730158730157
"Buffalo Chicken - 18"" Slice",186.7,11.0,54.0,18.0,3.0,3.0,1030.0,35.0,380.0,5.0,0.0,0.9473684210526316,0.6140350877192983,0.7518796992481203,2.2587719298245617,0.31578947368421056
