Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
Bourbon BBQ Brisket Sandwich,218.0,33.0,51.0,38.0,15.0,2.0,1460.0,105.0,650.0,12.0,1.0,0.5230769230769231,1.076923076923077,1.3186813186813187,1.8717948717948718,0.38974358974358975
Bourbon BBQ Chicken Sandwich,246.0,31.0,66.0,38.0,16.0,3.0,1990.0,90.0,690.0,9.0,0.0,0.6376811594202899,0.8695652173913043,1.1669489930359496,2.4033816425120773,0.3671497584541063
Bourbon BBQ Steak Sandwich,232.0,21.0,52.0,37.0,16.0,2.0,1770.0,80.0,540.0,8.0,0.0,0.6419753086419754,0.9876543209876543,1.0101010101010102,2.7314814814814814,0.45679012345679015
Bourbon BBQ Triple Stack Sandwich,359.0,43.0,67.0,65.0,16.0,4.0,2790.0,170.0,910.0,13.0,1.0,0.4908424908424909,1.2454212454212454,1.2273440844869417,2.554945054945055,0.47619047619047616
Greek Gyro Salad,228.0,37.0,11.0,10.0,4.0,2.0,700.0,55.0,420.0,9.0,0.0,0.17460317460317462,0.8730158730158731,2.288188002473717,1.388888888888889,0.15873015873015872
Gyro Loaded Curly Fries,261.0,59.0,57.0,14.0,3.0,6.0,1650.0,55.0,820.0,12.0,0.0,0.46341463414634154,0.4471544715447155,1.8688628444726003,1.676829268292683,0.11382113821138212
"Orange Cream Shake, Large",752.0,29.0,156.0,23.0,130.0,1.0,640.0,95.0,950.0,19.0,0.5,1.0947368421052632,0.6666666666666667,0.7928913192071086,0.5614035087719298,0.16140350877192983
"Orange Cream Shake, Medium",582.0,22.0,124.0,18.0,103.0,1.0,490.0,75.0,750.0,15.0,0.5,1.1022222222222222,0.6666666666666667,0.7619047619047619,0.5444444444444445,0.16
"Orange Cream Shake, Small",407.0,17.0,86.0,12.0,72.0,1.0,340.0,55.0,530.0,11.0,0.0,1.0817610062893082,0.6918238993710693,0.8331291350159274,0.5345911949685535,0.1509433962264151
"Orange Cream Shake, Snack",249.0,8.0,54.0,8.0,45.0,0.0,210.0,25.0,310.0,5.0,0.0,1.1612903225806452,0.5376344086021505,0.6702974444909928,0.564516129032258,0.17204301075268819
Super Greek Salad,382.0,53.0,39.0,22.0,7.0,5.0,1310.0,85.0,720.0,15.0,0.0,0.36111111111111116,0.7870370370370371,1.911976911976912,1.5162037037037037,0.2037037037037037
Traditional Greek Gyro,273.0,44.0,55.0,23.0,6.0,4.0,1360.0,75.0,710.0,13.0,0.0,0.5164319248826291,0.7042253521126761,1.6096579476861168,1.596244131455399,0.215962441314554
Loaded Italian,308.0,40.0,49.0,32.0,7.0,3.0,2270.0,100.0,680.0,14.0,0.5,0.48039215686274506,0.9803921568627452,1.5278838808250572,2.7818627450980395,0.3137254901960784
Reuben,308.0,31.0,62.0,37.0,5.0,4.0,2420.0,80.0,680.0,8.0,0.5,0.6078431372549019,0.7843137254901961,1.1841100076394193,2.965686274509804,0.36274509803921573
Roast Beef Gyro,273.0,29.0,48.0,24.0,5.0,3.0,1290.0,60.0,550.0,7.0,1.0,0.5818181818181819,0.7272727272727273,1.369539551357733,1.9545454545454544,0.29090909090909095
Smokehouse Brisket,203.0,35.0,42.0,33.0,7.0,2.0,1240.0,100.0,600.0,12.0,1.0,0.46666666666666673,1.1111111111111112,1.5151515151515151,1.7222222222222225,0.3666666666666667
Turkey Gyro,273.0,20.0,48.0,25.0,5.0,3.0,1520.0,45.0,470.0,3.5,0.0,0.6808510638297872,0.6382978723404256,1.1052777010223818,2.6950354609929077,0.3546099290780142
Classic Beef 'n Cheddar Sandwich,195.0,20.0,45.0,23.0,9.0,2.0,1280.0,50.0,450.0,6.0,1.0,0.6666666666666667,0.7407407407407407,1.1544011544011545,2.3703703703703707,0.3407407407407408
Classic French Dip & Swiss/Au Jus Sandwich,327.0,22.0,51.0,34.0,3.0,2.0,2550.0,85.0,540.0,10.0,1.0,0.6296296296296297,1.0493827160493827,1.0582010582010584,3.9351851851851856,0.41975308641975306
Classic Roast Beef Sandwich,154.0,14.0,37.0,23.0,5.0,2.0,970.0,50.0,360.0,5.0,0.5,0.6851851851851852,0.925925925925926,1.0101010101010102,2.2453703703703707,0.42592592592592593
