,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
89,Veggie Lover's® - Medium Thin 'N Crispy® Slice,108.1g,6g,24g,8g,4g,2g,420mg,15mg,180,3g,0g,0
90,Backyard BBQ Chicken - Large Original Pan Slice,150.3g,16g,43g,16g,7g,2g,650mg,35mg,380,6g,0g,0
91,Buffalo Chicken - Large Original Pan Slice,148.6g,14g,40g,15g,2g,2g,850mg,30mg,350,5g,0g,0
92,Cheese - Large Original Pan Slice,148.2g,17g,37g,16g,2g,2g,660mg,35mg,360,7g,0g,0
93,Chicken-Bacon Parmesan - Large Original Pan Slice,158.8g,20g,35g,18g,2g,2g,680mg,40mg,390,7g,0g,0
94,Hawaiian Chicken - Large Original Pan Slice,165.9g,14g,38g,17g,3g,2g,720mg,35mg,350,5g,0g,0
95,Meat Lover's® - Large Original Pan Slice,174.3g,27g,37g,19g,2g,2g,970mg,50mg,470,10g,0g,0
96,Pepperoni - Large Original Pan Slice,140.9g,18g,36g,15g,2g,2g,680mg,35mg,370,6g,0g,0
97,Pepperoni Lover's® - Large Original Pan Slice,163.7g,24g,37g,19g,2g,3g,850mg,50mg,440,9g,0.5g,0
98,Supreme - Large Original Pan Slice,169.2g,20g,37g,16g,2g,2g,740mg,40mg,400,7g,0g,0
99,Ultimate Cheese Lover's® - Large Original Pan Slice,148.3g,20g,36g,17g,2g,2g,670mg,40mg,390,8g,0g,0
100,Veggie Lover's® - Large Original Pan Slice,166g,15g,38g,13g,3g,3g,620mg,25mg,330,5g,0g,0
101,Backyard BBQ Chicken - Large Hand Tossed Slice,132.8g,10g,40g,14g,7g,2g,530mg,30mg,300,4.5g,0g,$15.49
102,Buffalo Chicken - Large Hand Tossed Slice,131.5g,8g,37g,13g,2g,2g,740mg,30mg,270,4g,0g,$12.49
103,Cheese - Large Hand Tossed Slice,128.9g,10g,34g,13g,2g,3g,540mg,30mg,290,5g,0g,0
104,Chicken-Bacon Parmesan - Large Hand Tossed Slice,141.7g,13g,33g,16g,1g,2g,560mg,35mg,310,5g,0g,$15.49
105,Hawaiian Chicken - Large Hand Tossed Slice,150.5g,9g,36g,15g,3g,3g,610mg,30mg,280,4g,0g,0
106,Meat Lover's® - Large Hand Tossed Slice,157.4g,21g,34g,17g,2g,3g,860mg,50mg,390,8g,0g,$15.49
107,Pepperoni - Large Hand Tossed Slice,125.3g,13g,34g,13g,2g,3g,590mg,30mg,300,6g,0g,0
108,Pepperoni Lover's® - Large Hand Tossed Slice,145.7g,18g,35g,17g,2g,3g,740mg,50mg,370,8g,0g,$15.49
109,Supreme - Large Hand Tossed Slice,154.5g,14g,35g,14g,2g,3g,630mg,35mg,330,6g,0g,$15.49
110,Ultimate Cheese Lover's® - Large Hand Tossed Slice,127.8g,13g,33g,15g,1g,2g,540mg,35mg,310,6g,0g,$15.49
111,Veggie Lover's® - Large Hand Tossed Slice,153g,9g,36g,11g,2g,3g,510mg,20mg,260,4g,0g,$15.49
112,Backyard BBQ Chicken - Large Thin 'N Crispy® Slice,118.7g,9g,35g,14g,9g,2g,590mg,35mg,280,4.5g,0g,0
113,Buffalo Chicken - Large Thin 'N Crispy® Slice,118.4g,8g,33g,13g,4g,2g,810mg,30mg,250,4g,0g,0
114,Cheese - Large Thin 'N Crispy® Slice,114.9g,10g,29g,14g,4g,2g,610mg,35mg,260,6g,0g,0
115,Chicken-Bacon Parmesan - Large Thin 'N Crispy® Slice,128.4g,13g,28g,15g,4g,2g,620mg,40mg,290,6g,0g,0
116,Hawaiian Chicken - Large Thin 'N Crispy® Slice,137.3g,8g,31g,14g,6g,2g,670mg,35mg,250,4g,0g,0
117,Meat Lover's® - Large Thin 'N Crispy® Slice,141g,20g,29g,17g,4g,2g,920mg,50mg,370,9g,0g,$15.49
118,Pepperoni - Large Thin 'N Crispy® Slice,110.6g,13g,29g,13g,4g,2g,660mg,35mg,280,6g,0g,0
119,Pepperoni Lover's® - Large Thin 'N Crispy®; Slice,133.4g,18g,30g,17g,4g,2g,830mg,55mg,350,9g,0.5g,0
120,Supreme - Large Thin 'N Crispy® Slice,142.4g,14g,30g,14g,5g,2g,680mg,40mg,300,6g,0g,$15.49
121,Ultimate Cheese Lover's® - Large Thin 'N Crispy® Slice,114.9g,14g,28g,15g,4g,2g,620mg,40mg,290,7g,0g,$15.49
122,Veggie Lover's® - Large Thin 'N Crispy® Slice,144.4g,8g,31g,11g,5g,3g,580mg,20mg,240,4g,0g,$15.49
123,Backyard BBQ Chicken - Large Original Stuffed Crust® Slice,146.4g,13g,41g,16g,7g,2g,670mg,45mg,340,6g,0g,0
124,Buffalo Chicken - Large Original Stuffed Crust® Slice,144.7g,11g,39g,15g,2g,2g,870mg,40mg,310,6g,0g,$18.49
125,Cheese - Large Original Stuffed Crust® Slice,138.7g,13g,35g,14g,2g,3g,660mg,35mg,310,7g,0g,0
126,Chicken-Bacon Parmesan - Large Original Stuffed Crust® Slice,154.9g,16g,34g,17g,2g,2g,700mg,45mg,350,7g,0g,0
127,Hawaiian Chicken - Large Original Stuffed Crust® Slice,161.9g,11g,37g,16g,3g,2g,750mg,40mg,310,6g,0g,0
128,Meat Lover's® - Large Original Stuffed Crust® Slice,171.7g,24g,36g,19g,2g,2g,1010mg,60mg,430,10g,0g,$17.49
129,Pepperoni - Large Original Stuffed Crust® Slice,139.7g,16g,35g,15g,2g,2g,730mg,45mg,340,7g,0g,0
130,Pepperoni Lover's® - Large Original Stuffed Crust®; Slice,154.4g,20g,35g,18g,2g,3g,850mg,55mg,390,9g,0.5g,$17.49
131,Supreme - Large Original Stuffed Crust® Slice,166.4g,18g,36g,16g,2g,3g,770mg,45mg,370,8g,0g,$17.49
132,Ultimate Cheese Lover's® - Large Original Stuffed Crust® Slice,137.6g,16g,34g,15g,2g,2g,660mg,40mg,340,8g,0g,$17.49
133,Veggie Lover's® - Large Original Stuffed Crust® Slice,163g,12g,37g,13g,3g,3g,650mg,30mg,300,6g,0g,$17.49
134,Cheese - Udi's® Gluten-Free Pizza Slice,46.8g,4g,14g,4g,2g,1g,240mg,10mg,110,2g,0g,0
135,Meat Lover's® - Udi's® Gluten-Free Pizza Slice,59g,9g,14g,6g,2g,1g,370mg,20mg,160,3.5g,0g,0
136,Pepperoni - Udi's® Gluten-Free Pizza Slice,46.3g,5g,14g,4g,2g,1g,260mg,15mg,120,2g,0g,0
137,Pepperoni Lover's® - Udi's® Gluten-Free Pizza Slice,54g,7g,14g,6g,2g,1g,320mg,20mg,150,3g,0g,0
138,Supreme - Udi's® Gluten-Free Pizza Slice,59.3g,6g,15g,5g,2g,1g,270mg,15mg,130,2.5g,0g,0
139,Veggie Lover's® - Udi's® Gluten-Free Pizza Slice,59.8g,3.5g,15g,4g,3g,1g,230mg,10mg,100,1.5g,0g,0
140,Backyard BBQ Chicken - Rectangle Slice,107.4g,9g,34g,11g,6g,2g,470mg,20mg,260,3.5g,0g,0
141,Buffalo Chicken - Rectangle Slice,106.3g,8g,32g,10g,1g,2g,630mg,20mg,240,3g,0g,0
142,Cheese - Rectangle Slice,102.6g,9g,29g,10g,1g,2g,460mg,20mg,240,4g,0g,0
143,Chicken-Bacon Parmesan - Rectangle Slice,112.6g,12g,28g,12g,1g,2g,490mg,25mg,270,4.5g,0g,0
144,Hawaiian Chicken - Rectangle Slice,116.3g,8g,30g,11g,2g,2g,500mg,20mg,230,3g,0g,0
145,Meat Lover's® - Rectangle Slice,121.6g,16g,29g,13g,1g,2g,670mg,35mg,310,6g,0g,0
146,Pepperoni - Rectangle Pan Slice,100.2g,11g,28g,10g,1g,2g,490mg,20mg,250,4g,0g,0
147,Pepperoni Lover's® - Rectangle Slice,114g,14g,29g,13g,1g,2g,590mg,35mg,290,6g,0g,0
148,Supreme - Rectangle Slice,118.6g,12g,29g,11g,2g,2g,520mg,25mg,270,4.5g,0g,0
